2026-06-30 13:59:33 | buyer=Ken | qty=5 | student=p20240034 | remaining=195
2026-06-30 14:04:31 | buyer=Ken | qty=5 | student=p20240034 | remaining=195
2026-06-30 14:05:31 | buyer=Ken | qty=5 | student=p20240034 | remaining=190
2026-06-30 14:06:44 | buyer=buyer2 | qty=1 | student=p20240034 | remaining=199
2026-06-30 14:06:44 | buyer=buyer3 | qty=1 | student=p20240034 | remaining=199
2026-06-30 14:06:44 | buyer=buyer6 | qty=1 | student=p20240034 | remaining=198
2026-06-30 14:06:44 | buyer=buyer5 | qty=1 | student=p20240034 | remaining=197
2026-06-30 14:06:44 | buyer=buyer1 | qty=1 | student=p20240034 | remaining=196
2026-06-30 14:06:44 | buyer=buyer4 | qty=1 | student=p20240034 | remaining=196
2026-06-30 14:06:44 | buyer=buyer7 | qty=1 | student=p20240034 | remaining=196
2026-06-30 14:06:44 | buyer=buyer11 | qty=1 | student=p20240034 | remaining=195
2026-06-30 14:06:44 | buyer=buyer10 | qty=1 | student=p20240034 | remaining=195
2026-06-30 14:06:44 | buyer=buyer8 | qty=1 | student=p20240034 | remaining=-1
2026-06-30 14:06:44 | buyer=buyer12 | qty=1 | student=p20240034 | remaining=-1
2026-06-30 14:07:05 | buyer=buyer2 | qty=1 | student=p20240034 | remaining=199
2026-06-30 14:07:05 | buyer=buyer16 | qty=1 | student=p20240034 | remaining=-1
2026-06-30 14:07:05 | buyer=buyer6 | qty=1 | student=p20240034 | remaining=-1
2026-06-30 14:07:05 | buyer=buyer14 | qty=1 | student=p20240034 | remaining=-1
2026-06-30 14:07:05 | buyer=buyer4 | qty=1 | student=p20240034 | remaining=199
2026-06-30 14:07:05 | buyer=buyer1 | qty=1 | student=p20240034 | remaining=-1
2026-06-30 14:07:05 | buyer=buyer3 | qty=1 | student=p20240034 | remaining=-1
2026-06-30 14:07:06 | buyer=buyer3 | qty=1 | student=p20240034 | remaining=199
2026-06-30 14:07:06 | buyer=buyer5 | qty=1 | student=p20240034 | remaining=199
2026-06-30 14:07:06 | buyer=buyer6 | qty=1 | student=p20240034 | remaining=199
2026-06-30 14:07:06 | buyer=buyer4 | qty=1 | student=p20240034 | remaining=199
2026-06-30 14:07:06 | buyer=buyer2 | qty=1 | student=p20240034 | remaining=198
2026-06-30 14:07:06 | buyer=buyer11 | qty=1 | student=p20240034 | remaining=-1
2026-06-30 14:07:06 | buyer=buyer9 | qty=1 | student=p20240034 | remaining=-1
2026-06-30 14:07:06 | buyer=buyer1 | qty=1 | student=p20240034 | remaining=198
